Scode,Coname,NewsDt,NewsID,Newsmedia,Buyernm,Sellernm,Subnm,Eqtrart,MAprice,Currut,Ifrumor,State,corporation_name
601881,中国银河,2018-09-27,M373013419,东方财富网,中国银河,苏皇金融,银河期货16.68%股权,16.68%,2.39,人民币,否,无,苏皇金融
601898,中煤能源,2018-08-21,K599228140,东方财富网,中煤能源,中国煤炭资产管理集团有限公司,中煤电气100%股权,100%,2.57,人民币,否,无,中煤电气100%股权
601899,紫金矿业,2010-12-23,C499671691,CCTV经济网,金川集团,加拿大大陆矿业公司(ContinentalMineralsCorp),加拿大大陆矿业公司全部股权,100.00%,28.2,人民币,否,无,加拿大大陆矿业公司全部股权
601900,南方传媒,2016-11-04,M426386844,DoNews,南方传媒,广东樵山文化产业投资控股有限公司、惠州市国有文化资产监督管理办公室、中共陆丰市委宣传部、机械工业出版社等,发行集团45.19%股权,45.19%,11.88,人民币,否,无,发行集团45.19%股权
601901,方正证券,2013-02-27,H704194693,东方财富网,方正证券,无,方正东亚信托股权,70.00%,28.55,人民币,否,无,方正东亚信托股权
601919,中国远洋,2009-08-28,M1215441180,金融界,中国远洋,中远太平洋物流公司,中国远洋物流股权,49.00%,20.0,人民币,否,无,中国远洋物流股权
601933,永辉超市,2011-09-13,C2017938231,东南网,永辉超市,无,福建省永辉商业有限公司100%股权,100.00%,1.88,人民币,否,无,福建省永辉商业有限公司100%股权
601989,中国重工,2010-07-16,Q287815939,金融界,中国重工,中船重工集团在内的7名对象,大船重工、渤船重工、山船重工及北船重工股权,大船重工100%；渤船重工100%；山船重工100%；北船重工94.85%,173.0,人民币,否,无,中船重工集团在内的7名对象
601996,丰林集团,2016-03-10,P80355832,凤凰财经,丰林集团,无,封开威利邦100%股权、清远威利邦100%股权,封开威利邦100%；清远威利邦100%,5.385,人民币,否,无,封开威利邦100%股权、清远威利邦100%股权
601999,出版传媒,2016-10-24,P873775893,金融界,出版传媒,辽宁出版集团,辽宁新华印务有限公司全部股权，辽宁出版印刷物资配送产业园相关资产,辽宁新华印务有限公司100%,4.0,人民币,否,无,辽宁出版集团
603003,龙宇燃油,2015-04-16,Q774333502,搜狐,龙宇燃油,北京金汉王技术有限公司,北京金汉王技术有限公司股权,100.00%,10.0,人民币,否,无,北京金汉王技术有限公司
603006,联明股份,2015-06-14,D242136918,新浪,联明股份,联明投资,晨通物流100%股权,100.00%,5.17,人民币,否,无,联明投资
603008,喜临门,2015-03-13,H1491038093,凤凰财经,喜临门,周伟成、兰江,绿城传媒100%股权,100.00%,7.2,人民币,否,无,周伟成、兰江
