,chapter,word,count
0,1,一下,1
1,1,一个个,1
2,1,一个十七八岁,1
3,1,一会,1
4,1,一列,1
5,1,一堆,1
6,1,一声,1
7,1,一套,1
8,1,一定,1
9,1,一座,1
10,1,一惊,1
11,1,一望无际,1
12,1,一条,1
13,1,一片,1
14,1,一眼,1
15,1,一种,1
16,1,一角,1
17,1,一起,1
18,1,一边,2
19,1,一阵,1
20,1,一霎间,1
21,1,上去,1
22,1,上面,1
23,1,下台阶,1
24,1,下来,1
25,1,不久,1
26,1,不做声,1
27,1,不停,1
28,1,不再,1
29,1,不出,1
30,1,不敢,1
31,1,不是,2
32,1,不由,1
33,1,不知,2
34,1,不见,1
35,1,不言不语,1
36,1,东倒西歪,1
37,1,东张西望,2
38,1,东殿,1
39,1,两只,1
40,1,两声,2
41,1,两扇,1
42,1,个人,1
43,1,中会,1
44,1,中年人,1
45,1,主人,1
46,1,举止,1
47,1,举目无亲,1
48,1,之间,1
49,1,乐器,5
50,1,乘客,2
51,1,事物,1
52,1,二十块,1
53,1,交头接耳,1
54,1,京里,1
55,1,人们,2
56,1,人庙,1
57,1,人影,2
58,1,仍然,1
59,1,从大,1
60,1,以后,1
61,1,仰头,1
62,1,伏庙,1
63,1,休地,1
64,1,位子,1
65,1,低头,1
66,1,俊美,1
67,1,值个,1
68,1,偏殿,1
69,1,停下来,1
70,1,偷偷,1
71,1,先生,4
72,1,全冒起,1
73,1,全是,1
74,1,关帝庙,1
75,1,关得,1
76,1,写信,1
77,1,写信给,1
78,1,冥想,1
79,1,冷清,1
80,1,凑近,1
81,1,凝望,2
82,1,几下,1
83,1,出声,2
84,1,出来,1
85,1,出现,1
86,1,动不动,1
87,1,动弹,1
88,1,北平,2
89,1,北戴河,2
90,1,十块,1
91,1,半天,2
92,1,半晌,1
93,1,单调,1
94,1,卖唱,1
95,1,南胡,1
96,1,却是,1
97,1,厉害,1
98,1,原野,2
99,1,变化,1
100,1,只人,1
101,1,只好,1
102,1,台阶,3
103,1,吃不上,1
104,1,吆喊,1
105,1,吆喝,1
106,1,同伴,2
107,1,同车,1
108,1,后复,1
109,1,后来,1
110,1,后面,1
111,1,向东,1
112,1,含着泪,1
113,1,听见,1
114,1,吸足,1
115,1,告诉,3
116,1,呵呵,2
117,1,呵欠,1
118,1,哪一位,1
119,1,哪配,1
120,1,商人,2
121,1,喊一声,2
122,1,喷腾,1
123,1,嘴巴,1
124,1,嘶叫,1
125,1,回忆,1
126,1,回忆往事,1
127,1,回答,1
128,1,回过头来,1
129,1,地上,1
130,1,地发,1
131,1,地向,1
132,1,地守,1
133,1,地方,3
134,1,地望,1
135,1,地站,1
136,1,地笑,1
137,1,地问,1
138,1,坐在,1
139,1,声响,1
140,1,外边,1
141,1,多么,1
142,1,多嘴,1
143,1,多皱,1
144,1,夜里,1
145,1,大声,1
146,1,大海,2
147,1,大舌头,1
148,1,大门,1
149,1,天真,1
150,1,天空,1
151,1,天色,1
152,1,天黑,1
153,1,失恋,1
154,1,好久,1
155,1,好像,1
156,1,好几步,1
157,1,好容易,1
158,1,好看,1
159,1,姑娘,1
160,1,子包,1
161,1,孤单,2
162,1,孤帆,1
163,1,学校,4
164,1,学生,23
165,1,孩子气,1
166,1,实在,1
167,1,家乡,1
168,1,家家,1
169,1,寂寞,2
170,1,寂寥,2
171,1,密斯,1
172,1,封条,1
173,1,小妞,1
174,1,小学,1
175,1,小学校,1
176,1,小小的,2
177,1,小河,1
178,1,少女,2
179,1,尤其,1
180,1,屋顶,1
181,1,山上,3
182,1,山岗,1
183,1,山脚下,1
184,1,岗上,1
185,1,岩石,1
186,1,已经,1
187,1,布短,1
188,1,干人,1
189,1,平沈,1
190,1,平静,1
191,1,幽雅,1
192,1,广阔,1
193,1,庄稼,1
194,1,底下,1
195,1,庙外,1
196,1,庙里,1
197,1,庙门,1
198,1,开行,1
199,1,异常,3
200,1,引起,2
201,1,张文清,2
202,1,径直,1
203,1,很大,1
204,1,徜徉,1
205,1,微微,1
206,1,微起,1
207,1,心里,2
208,1,忍耐,1
209,1,忘记,1
210,1,快步,1
211,1,怎么回事,1
212,1,急忙,1
213,1,悄悄地,1
214,1,悲伤地,1
215,1,情感,1
216,1,惊奇,1
217,1,惊异,1
218,1,惊讶,1
219,1,惊醒,1
220,1,惋惜,1
221,1,愣愣,1
222,1,慢慢,2
223,1,手绢,1
224,1,手里,1
225,1,打不开,1
226,1,打着,1
227,1,找张,1
228,1,拉拉,1
229,1,拍打着,1
230,1,招呼,1
231,1,拼命,1
232,1,挤眉弄眼,1
233,1,挪动,1
234,1,接人,1
235,1,提着,1
236,1,搜寻,1
237,1,摇摇头,1
238,1,放在,1
239,1,教书,3
240,1,教员,1
241,1,散步,1
242,1,整洁,1
243,1,新奇,1
244,1,新鲜空气,1
245,1,旁边,1
246,1,旅客,3
247,1,旗袍,1
248,1,无人,1
249,1,无尽,1
250,1,早入,1
251,1,时女,1
252,1,时才,1
253,1,明亮,2
254,1,明月,1
255,1,是从,2
256,1,暑假,1
257,1,更加,1
258,1,最易,1
259,1,月光,1
260,1,月琴,1
261,1,有人,1
